"species_scientific"
"Sagina decumbens"
"Sagittaria latifolia"
"Sagittaria montevidensis"
"Sagittaria sanfordii"
"Salix bonplandiana"
"Salix exigua"
"Salix gooddingii"
"Salix hindsiana"
"Salix laevigata"
"Salix lasiandra"
"Salix lasiolepis"
"Salix lucida"
"Salix melanopsis"
"Salsola tragus"
"Salvia sonomensis"
"Salvinia molesta"
"Sambucus mexicana"
"Sambucus nigra"
"Samolus parviflorus"
"Sanguisorba minor"
"Sanicula bipinnata"
"Sanicula bipinnatifida"
"Sanicula crassicaulis"
"Saponaria officinalis"
"Sarcodes sanguinea"
"Saxifraga californica"
"Schedonorus pratensis"
"Schoenoplectus acutus"
"Schoenoplectus californicus"
"Schoenoplectus tabernaemontani"
"Scindapsus pictus"
"Scleranthus annuus"
"Scleropodium julaceum"
"Scleropodium touretii"
"Scolymus hispanicus"
"Scouleria marginata"
"Scribneria bolanderi"
"Scrophularia californica"
"Scutellaria californica"
"Scutellaria galericulata"
"Scutellaria lateriflora"
"Sechium edule"
"Sedella pumila"
"Sedum sarmentosum"
"Sedum spectabile"
"Selaginella hansenii"
"Senecio aronicoides"
"Senecio flaccidus"
"Senecio vulgaris"
"Sesamum indicum"
"Sesbania herbacea"
"Sesbania punicea"
"Setaria parviflora"
"Setaria pumila"
"Setaria verticillata"
"Setaria viridis"
"Sherardia arvensis"
"Sidalcea calycosa"
"Sidalcea diploscypha"
"Sidalcea hartwegii"
"Sidalcea hirsuta"
"Sidalcea malviflora"
"Silene coronaria"
"Silene gallica"
"Silybum marianum"
"Sinapis arvensis"
"Sisymbrium altissimum"
"Sisymbrium irio"
"Sisymbrium officinale"
"Sisymbrium orientale"
"Sisyrinchium bellum"
"Sisyrinchium rosulatum"
"Sium suave"
"Solanum aethiopicum"
"Solanum americanum"
"Solanum douglasii"
"Solanum elaeagnifolium"
"Solanum nigrum"
"Solanum physalifolium"
"Solanum pseudocapsicum"
"Solanum rostratum"
"Solanum sarrachoides"
"Solanum scabrum"
"Solanum xanti"
"Solidago spathulata"
"Solidago spectabilis"
"Soliva sessilis"
"Sonchus arvensis"
"Sonchus asper"
"Sonchus oleraceus"
"Sorghum bicolor"
"Sorghum halepense"
"Sparganium eurycarpum"
"Spergula arvensis"
"Spergularia bocconei"
"Spergularia macrotheca"
"Spergularia marina"
"Spergularia rubra"
"Spergularia villosa"
"Spiraea prunifolia"
"Spiranthes porrifolia"
"Sporobolus airoides"
"Sporobolus cryptandrus"
"Sporobolus indicus"
"Stachys ajugoides"
"Stachys albens"
"Stachys rigida"
"Stachys stricta"
"Stebbinsoseris heterocarpa"
"Stellaria media"
"Stellaria nitens"
"Stephanomeria virgata"
"Streptanthus lasiophyllus"
"Styrax officinalis"
"Styrax redivivus"
"Suaeda californica"
"Symphyotrichum chilense"
"Symphyotrichum lentum"
"Symphyotrichum spathulatum"
"Symphyotrichum subulatum"
"Symphytum asperum"
"Syntrichia laevipila"
"Syntrichia princeps"
"Syrmatium junceum"
"Syzygium paniculatum"
"Taeniatherum caput-medusae"
"Tamarix gallica"
"Taraxacum officinale"
"Tauschia hartwegii"
"Taxodium distichum"
"Taxodium mucronatum"
"Taxus baccata"
"Taxus brevifolia"
"Teucrium viscidum"
"Thinopyrum intermedium"
"Thlaspi arvense"
"Thysanocarpus curvipes"
"Thysanocarpus radians"
"Tilia americana"
"Tilia cordata"
"Tilia tomentosa"
"Timmiella crassinervis"
"Torilis arvensis"
"Torilis nodosa"
"Torreya nucifera"
"Tortula muralis"
"Tortula princeps"
"Toxicodendron diversilobum"
"Tragopogon dubius"
"Tragopogon porrifolius"
"Triadica sebifera"
"Tribulus terrestris"
"Trichocoronis wrightii"
"Trichostema lanceolatum"
"Trifolium albopurpureum"
"Trifolium barbigerum"
"Trifolium bifidum"
"Trifolium bocconei"
"Trifolium campestre"
"Trifolium ciliolatum"
"Trifolium depauperatum"
"Trifolium dubium"
"Trifolium fragiferum"
"Trifolium fucatum"
"Trifolium glomeratum"
"Trifolium gracilentum"
"Trifolium grayi"
"Trifolium hirtum"
"Trifolium hybridum"
"Trifolium incarnatum"
"Trifolium macrocephalum"
"Trifolium microcephalum"
"Trifolium microdon"
"Trifolium oliganthum"
"Trifolium pratense"
"Trifolium repens"
"Trifolium subterraneum"
"Trifolium tomentosum"
"Trifolium tridentatum"
"Trifolium variegatum"
"Trifolium vesiculosum"
"Trifolium willdenovii"
"Trifolium wormskioldii"
"Triglochin scilloides"
"Triphysaria eriantha"
"Triphysaria pusilla"
"Triphysaria versicolor"
"Triteleia hyacinthina"
"Triteleia ixioides"
"Triteleia laxa"
"Triticum aestivum"
"Tropidocarpum gracile"
"Tuberaria guttata"
"Typha angustifolia"
"Typha domingensis"
"Typha latifolia"
"Ulmus minor"
"Ulmus parvifolia"
"Ulmus pumila"
"Uropappus lindleyi"
"Urtica dioica"
"Urtica urens"
"Utricularia gibba"
"Valeriana jatamansi"
"Verbascum blattaria"
"Verbascum thapsus"
"Verbena abramsii"
"Verbena bonariensis"
"Verbena hastata"
"Verbena lasiostachys"
"Verbena litoralis"
"Verbena officinalis"
"Verbena rigida"
"Veronica anagallis-aquatica"
"Veronica arvensis"
"Veronica buxifolia"
"Veronica catenata"
"Veronica hederifolia"
"Veronica peregrina"
"Veronica persica"
"Viburnum odoratissimum"
"Vicia americana"
"Vicia benghalensis"
"Vicia cracca"
"Vicia sativa"
"Vicia tetrasperma"
"Vicia villosa"
"Vinca major"
"Viola douglasii"
"Viola lobata"
"Viola odorata"
"Viola pedunculata"
"Viola quercetorum"
"Viscum album"
"Vitis aestivalis"
"Vitis californica"
"Vitis vinifera"
"Vulpia bromoides"
"Vulpia microstachys"
"Vulpia myuros"
"Wyethia angustifolia"
"Xanthium spinosum"
"Xanthium strumarium"
"Zeltnera exaltata"
"Zeltnera muehlenbergii"
"Zeltnera trichantha"
"Zeltnera venusta"
"Ziziphus jujuba"
"Ziziphus mauritiana"
