"species_scientific"
"Ceanothus leucodermis"
"Ceiba speciosa"
"Celosia argentea"
"Celtis australis"
"Celtis laevigata"
"Celtis sinensis"
"Cenchrus incertus"
"Centaurea melitensis"
"Centaurea solstitialis"
"Centaurea sulphurea"
"Centaurium tenuiflorum"
"Centipeda minima"
"Centromadia fitchii"
"Centromadia parryi"
"Centromadia pungens"
"Cephalanthus occidentalis"
"Cerastium fontanum"
"Cerastium glomeratum"
"Ceratocephalus testiculatus"
"Ceratodon purpureus"
"Ceratonia siliqua"
"Ceratophyllum demersum"
"Cercis occidentalis"
"Chamaebatia foliolosa"
"Chamaebatiaria millefolium"
"Chamaecyparis lawsoniana"
"Chamaesyce nutans"
"Chamaesyce ocellata"
"Chamerion angustifolium"
"Chenopodium album"
"Chenopodium ambrosioides"
"Chenopodium berlandieri"
"Chenopodium murale"
"Chenopodium strictum"
"Chloris verticillata"
"Chloris virgata"
"Chlorogalum angustifolium"
"Chlorogalum pomeridianum"
"Chloropyron molle"
"Chondrilla juncea"
"Chorispora tenella"
"Chorizanthe membranacea"
"Chorizanthe polygonoides"
"Chrysanthemum indicum"
"Cicendia quadrangularis"
"Cichorium intybus"
"Cicuta maculata"
"Cinnamomum camphora"
"Cirsium arvense"
"Cirsium hydrophilum"
"Cirsium quercetorum"
"Cirsium vulgare"
"Clarkia affinis"
"Clarkia arcuata"
"Clarkia biloba"
"Clarkia purpurea"
"Clarkia unguiculata"
"Claytonia menziesii"
"Claytonia parviflora"
"Claytonia perfoliata"
"Clematis lasiantha"
"Clematis ligusticifolia"
"Clematis terniflora"
"Cleomella obtusifolia"
"Cleome viscosa"
"Collinsia heterophylla"
"Collinsia parviflora"
"Collinsia sparsiflora"
"Collinsia torreyi"
"Colocasia esculenta"
"Comandra umbellata"
"Comarum palustre"
"Conium maculatum"
"Convolvulus arvensis"
"Conyza canadensis"
"Cordylanthus mollis"
"Cordylanthus pilosus"
"Cordylanthus tenuis"
"Coriandrum sativum"
"Cornus sericea"
"Cornus sessilis"
"Cortaderia selloana"
"Cotula australis"
"Cotula coronopifolia"
"Cotula mexicana"
"Crassocephalum crepidioides"
"Crassula aquatica"
"Crassula connata"
"Crassula solieri"
"Crassula tillaea"
"Crataegus monogyna"
"Cressa truxillensis"
"Croton setiger"
"Croton setigerus"
"Crypsis schoenoides"
"Crypsis vaginiflora"
"Cryptantha clevelandii"
"Cryptantha flaccida"
"Cryptantha hooveri"
"Cryptantha leiocarpa"
"Cryptomeria japonica"
"Cryptomitrium tenerum"
"Cucumis sativus"
"Cucurbita moschata"
"Cucurbita palmata"
"Cunninghamia lanceolata"
"Cupressus arizonica"
"Cupressus funebris"
"Cupressus guadalupensis"
"Cuscuta campestris"
"Cuscuta howelliana"
"Cuscuta indecora"
"Cuscuta japonica"
"Cuscuta obtusiflora"
"Cuscuta pentagona"
"Cyclospermum leptophyllum"
"Cynara cardunculus"
"Cynodon dactylon"
"Cynoglossum grande"
"Cynosurus echinatus"
"Cyperus bipartitus"
"Cyperus difformis"
"Cyperus eragrostis"
"Cyperus erythrorhizos"
"Cyperus esculentus"
"Cyperus fuscus"
"Cyperus involucratus"
"Cyperus rotundus"
"Cyperus squarrosus"
"Cyperus strigosus"
"Cyperus virens"
"Damasonium californicum"
"Darlingtonia californica"
"Datisca glomerata"
"Datura ferox"
"Datura innoxia"
"Datura stramonium"
"Datura wrightii"
"Daucus carota"
"Daucus pusillus"
"Delairea odorata"
"Delphinium gracilentum"
"Delphinium hansenii"
"Delphinium hesperium"
"Delphinium patens"
"Delphinium variegatum"
"Dendromecon rigida"
"Deschampsia cespitosa"
"Deschampsia danthonioides"
"Descurainia sophia"
"Dichelostemma capitatum"
"Dichelostemma multiflorum"
"Dichelostemma pulchellum"
"Dichondra donelliana"
"Dicranum scoparium"
"Didymodon tophaceus"
"Didymodon vinealis"
"Digitalis purpurea"
"Digitaria ciliaris"
"Digitaria ischaemum"
"Digitaria sanguinalis"
"Dioscorea dodecaneura"
"Diplacus aurantiacus"
"Diplacus grandiflorus"
"Diplacus kelloggii"
"Diplacus puniceus"
"Diplacus tricolor"
"Distichlis spicata"
"Dittrichia graveolens"
"Dodecatheon clevelandii"
"Dodecatheon hendersonii"
"Downingia bicornuta"
"Downingia cuspidata"
"Downingia insignis"
"Downingia ornatissima"
"Downingia pulchella"
"Downingia pusilla"
"Drymocallis glandulosa"
"Dudleya cymosa"
"Dysphania ambrosioides"
"Dysphania anthelmintica"
"Dysphania botrys"
"Dysphania chilensis"
"Dysphania pumilio"
"Echinochloa colona"
"Echinochloa crus-galli"
"Echinochloa crus-pavonis"
"Echinochloa muricata"
"Echinodorus berteroi"
"Eclipta prostrata"
"Egeria densa"
"Eichhornia crassipes"
"Elatine brachysperma"
"Elatine rubella"
"Eleocharis acicularis"
"Eleocharis bella"
"Eleocharis engelmannii"
"Eleocharis macrostachya"
"Eleocharis montevidensis"
"Eleocharis pachycarpa"
"Eleocharis palustris"
"Eleocharis quadrangulata"
"Eleocharis rostellata"
"Eleusine indica"
"Eleusine tristachya"
"Eleutherine bulbosa"
"Elodea canadensis"
"Elsholtzia ciliata"
"Elymus glaucus"
"Elymus gouldii"
"Elymus multisetus"
"Epilobium brachycarpum"
"Epilobium campestre"
"Epilobium canum"
"Epilobium ciliatum"
"Epilobium cleistogamum"
"Epilobium densiflorum"
"Epilobium torreyi"
"Equisetum hyemale"
"Equisetum laevigatum"
"Equisetum x ferrissii"
"Eragrostis cilianensis"
"Eragrostis curvula"
"Eragrostis hypnoides"
"Eragrostis lutescens"
"Eragrostis mexicana"
